format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
takum8,takum,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,0,2,0.00736000016,ok
takum8,takum,8,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,1024,1024,1,0,0.00767999981,ok
takum8,takum,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,1,1,0.00774399983,ok
takum8,takum,8,fp32,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,131072,0,1024,1,2,0.00771200005,ok
takum8,takum,8,fp32,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,4352,0,1024,0,0,0.00579199987,ok
takum8,takum,8,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,1024,1024,0,1,0.00460800016,ok
takum8,takum,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,1024,2048,0,2,0.00425599981,ok
takum8,takum,8,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,1024,1024,1,0,0.00454400014,ok
takum8,takum,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,1024,2048,1,1,0.00428800005,ok
takum8,takum,8,fp32,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,4352,0,1024,1,2,0.00473600021,ok
takum8,takum,8,fp64,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,131072,0,2048,0,0,0.00841599982,ok
takum8,takum,8,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,2048,2048,0,1,0.00755200023,ok
takum8,takum,8,fp64,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,2048,4096,0,2,0.00758400001,ok
takum8,takum,8,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,2048,2048,1,0,0.00732799992,ok
takum8,takum,8,fp64,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,2048,4096,1,1,0.00790399965,ok
takum8,takum,8,fp64,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,131072,0,2048,1,2,0.00777600007,ok
takum8,takum,8,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,4352,0,2048,0,0,0.00505599985,ok
takum8,takum,8,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,2048,2048,0,1,0.0044160001,ok
takum8,takum,8,fp64,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,2048,4096,0,2,0.00467200018,ok
takum8,takum,8,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,2048,2048,1,0,0.00425599981,ok
takum8,takum,8,fp64,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,2048,4096,1,1,0.00454400014,ok
takum8,takum,8,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,4352,0,2048,1,2,0.00473600021,ok
takum8,takum,8,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,131072,0,2048,0,0,0.00822400022,ok
takum8,takum,8,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,2048,2048,0,1,0.00742400018,ok
takum8,takum,8,fp64,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,2048,4096,0,2,0.00774399983,ok
takum8,takum,8,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,2048,2048,1,0,0.00774399983,ok
takum8,takum,8,fp64,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,2048,4096,1,1,0.00748800021,ok
takum8,takum,8,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,131072,0,2048,1,2,0.00761599978,ok
takum8,takum,8,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,4352,0,2048,0,0,0.00499199983,ok
takum8,takum,8,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,2048,2048,0,1,0.00448000012,ok
takum8,takum,8,fp64,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,2048,4096,0,2,0.00483200001,ok
takum8,takum,8,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,2048,2048,1,0,0.00444799988,ok
takum8,takum,8,fp64,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,2048,4096,1,1,0.0045119999,ok
